hscode,name
201300000,Meat of bovine animals Kimlar beef roll
202201000,FROZEN BOBBY VEAL RIB BONES ; BONEIN VEALRIBCAGE ; 89082
202300000,Meat of bovine animal;ground;boneless;frozen;;AUSTRAL
202300000,Beef ground  frozenGROUND BEEF
202300000,Meat of bovine frozen;BONELESS BEEF TOP SIRLOIN STEAKS;28ozbox; Beef meat8928water972sodium phosphate 05salt 03 oleoresin of spice02;USA
202300000,Beefground  frozen;FROZEN BEEF PATTIES;For hamburger patties;Beef 100;AUSTRAL
202300000,Meat of bovine animals ; Frozen Boneless
202300000,Beefground  frozen Hamburger patties
202300000,Beef(8975) added watersaltdextrosepapain The originalnoname steaks
202300000,Beef added salt 075dextrose 1papain 075water 45The original NO NAME STEAKS
202300000,Beef added salt 075dextrose 1papain 075water 45Sandwich steak NO NAME STEAKS
202300000,Beef added water 45dextrose 1salt 075papain 075 Chopped beef sirloin NO NAME STEAKS
203199000,Meat of swine chilled; CHILLELD BONELESS PORK LOIN HALF CUT BSR
203290000,Pork 55 with neckbone 45 Pork neckbone with meat
203290000,Pork 60 with neckbone 40 Pork neckbone with meat
203290000,Front Foot and Shank Intact
203291000,Streaky pork frozen; manto; ibersemiescogido(congvacio (1X1)); SPAIN
203291000,Pork bellyfrozen
203299000,Meat of swine frozen; GROUND SEASONED PORK 70247 204697; USA
203299000,Meat of swine frozen; Gound seasoned pork; USA
203299000,Meat of swin frozen; GERMANY
203299000,Pork meatfrozen
203299000,Meat of swinefrozen;BONELESS PORK LOIN CENTER CUT CHOPS;48ozbox;For food;Pork meat8928water992sodium phosphate05salt 03;USA
204100000,뼈없는 어린 양고기 신선 또는 냉장(기타의 것으로서 뼈채로 절단한 어린 양고기)
204300000,뼈없는 어린 양고기 냉동(기타의 것으로서 뼈채로 절단한 어린 양고기 냉동)
206100000,Beef hook waste
206290000,Partially Defatted Chopped Beef; Partially Defatted Beef Tissue
206299000,Other edible offal of bovine animals frozen; BEEF ACHILLES TENDON
206299000,Beef offal
206299000,Skirt ; Frozen ; 안창살(토시살) 또는 갈매기살
206490000,Foot swine
206490000,Foot swine
206490000,돼지족발
206491000,Meat of swin frozen; GERMANY
207131000,Fowls meat cut and chilled; 계육
207141090,Meat of chicken  welsh onion Chicken meat  welsh onion skewer
207142090,Fowls offals of the species gallus domesticusfrozen 닭염통꼬치
207250000,Frozen turkey meat Not cut in pieces; BUTTERBALL FROZEN WHOLE TURKEY; USA
207271000,Meat of Turkey frozen ; TURKEY TENDERLOIN TENDONS Frozen ; USA
208909090,Kangaroo meat with bone in frozen;;;AUSTRAL
208909090,냉동메뚜기
208909090,Frozen Bear paw
210110000,Hams with bonein; JAMON IBERICO DE BELLOTA; SPAIN
210120000,Bacon frozen;;;POLAND
210120000,Bacon frozen;;;USA
210120000,Bacon smoked and frozen
210190000,Hams boneless; NOEL JAMON DE BELLOTA
