name,label
Bacon frozen;;;POLAND,2
Meat of swine frozen; Gound seasoned pork; USA,2
Partially Defatted Chopped Beef; Partially Defatted Beef Tissue,2
Pork 55 with neckbone 45 Pork neckbone with meat,2
Frozen Bear paw,2
Bluefin tuna neck meat frozen;;SPAIN,3
Live fresh or chilled abalone (Haliotis spp); Triploid Abalone(Haliotis discus hannai) seed; RKOREA,3
Live flatfish; LIVE STARRY FLOUNDER; PRCHNA,3
Crustaceans Frozen,3
Dried Mussels (Mytilus spp Perna spp); FREEZE DRIED GREENSHELL MUSSLE POWDER; NEWZLND,3
Atlantic bumper frozen ; FROZEN LAGNA ; SENEGAL,3
Frozen cod neck meat,3
Bluefin tuna meatFrozen,3
Frozen alaska pollock; pollock soup,3
염장메기,3
Milk protein concentrate; Instantized Skim Colostrum Powder(APS 8015I),4
Preparation of Natural milk constituentsWOW COW;;;USA,4
Product consisting of natural milk constituents;Milk permeate,4
Modified whey; Valio Evolus Concentrate,4
Boiled eggs of fowls of the species Gallus domesticus not in shell; RKOREA,4
Natural honey; ORGANIC ROYAL JELLY HONEY,4
Processed cheese;BUKO CREAM CHEESE WITH PEACH,4
Processed cheese spreadable,4
Fermented milk preparation Sour Butter 7780524,4
Colostrum powder;;;USA,4
Natural honey; Bee2 Australian Red Ginseng Honey Straws; AUSTRAL,4
Colostrum milk powderdeffated,4
Skim milk powder; Regilait VitaMilk,4
Skim milk preparation;Milkpro 30;;USA,4
Dairy spreads ; AOP BUTTER BLEND WITH ADDED SUGAR(P2015816) ; Belgium,4
Processed cheesespreadable,4
Fermented milk drink Calpis,4
Skim colostrum powder; Skjim Immulox Powder,4
Butter,4
Milk ; RKOREA,4
Dried eggs powder added sugar; INDIA,4
Egg powder;EGG ALBUMIN BLEND FOR FEED;Powder;For feed;Egg yolk50 egg white50;USA,4
Dairy spread frozen; DAIRY SPREAD 78; NETHERL,4
Milk powder; Percoba colostrum powder,4
Milk powderdefatted,4
Butter,4
Products consisting of natural milk constituents; 분말유크림1; RKOREA,4
flavored food Additive(Cheese Treme 17381),4
Natural honey; CACTUS HONEY;NET WT 3lbs(136kg);;USA,4
Mozzarella cheese; ELGIOIOSO SLICED LOG EXTRA VIRGIN OLIVE OIL AND BASIL; USA,4
Skim milk preparation,4
Colored Block Imitation Cheddar Cheese,4
Whey powder; POLAND,4
Shark Cartilagecapsules;;;AUSTRIA,5
Animal products not elsewhere specified unfit for human consumption; entomeal,5
Shark cartilage powder,5
Raw hide waste,5
Gammarus dried; LEGLESS GAMMARUS,5
Mealworm dead; PRCHNA,5
패각류,5
Powder of bones; CalGo(Salmon Calcium),5
마플러,6
Other alliaceous vegetable fresh; Allium hookeri,7
Root of Chinese Bellflower,7
Jack bean dried; CAN FLOWER (MAGIC BEAN),7
Pumpkin powder; PRCHNA,7
Mung beans,7
Dried onion flake 45 mixed with Dried carrot flake 42 Dried cabbage flake 13 ; For food; PR CHINA,7
RED SULTAPYA BEAM,7
