name,label
Hams boneless; JAMON IBERICO ETIQUETA ROJA EN LONCHAS; SPAIN,2
Foot swine,2
Meat of swine chilled; CHILLELD BONELESS PORK LOIN HALF CUT BSR,2
건조한 쇠꼬리(Oxtail dried),2
돼지족발,2
Beefground  frozen;FROZEN BEEF PATTIES;For hamburger patties;Beef 100;AUSTRAL,2
Dried Carp;Frozen;;BANGLAD,3
Yellowfin tunas neck meatFrozen,3
냉동 황다랑어 목살 ; Frozen Natural Tuna Jaw(Neck Meat),3
Cod neck meat frozen;;;RUSSIAN,3
Yellowfin tunas neck meat;Frozen;;INDNSIA,3
Mussel powder; Freeze dried green shell mussel powder;;;NEWZLND,3
Flour of fish fit for human consumption Other flour of shrimp fit for human consumption dried Oak mushrooms in powder dried Sea tangle in powder dried Other prepared anchovies Shrimp prepared Other tableware and kitchenware of wood; R KOREA,3
Bigeye tunas cheek meat frozen;;;TAIWAN,3
산낙지,3
Bigeye tunas neck meatFrozen,3
Natural Cheese flavor emulsion,4
Milk; Frappuccino Beverage Mix,4
Processed cheese; FISH CHEESE WITH COD; JAPAN,4
Natural honey; ROYAL JELLY IN MOUNTAIN FLOWER HONEY; GERMANY,4
Grated cheese; SHREDDED BLEND OF CHEDDAR MONTEREY JACK CHEESE; USA,4
Skim milk preparation,4
Milk preparation HK 0695,4
Natural honey; HONEY WITH WALNUTS; IRELAND,4
Colostrum powder;;;USA,4
Processed cheesespreadable,4
Dairy spreads ; AOP BUTTER BLEND WITH ADDED SUGAR(P2015810) ; Belgium,4
Whey protein concentrate for feeding; Premolac Power Dose,4
Cream concentrate frozen,4
Milk protein concentrate;MICRO LACTIN;Powder;For food;NEWZEALAND,4
Natural honey; TRUFFLIN Black Truffle Honey; FRANCE,4
Natural honey;Honey with propolis,4
Milk;RKOREA,4
Milk protein concentrate (Colostrum milk protein isolated 8020),4
Egg yolks; 난황액 에스; RKOREA,4
Mozzarella cheese ; Organic String Cheese ; 210690 ; USA,4
Natural honey; HONEY  THYME ESSENTIAL OILS,4
Milk; French Vanilla Artificially Flavored Beverage Mix,4
Modified whey;PTX Flavir Whey SW 708MSF;;USA,4
Milk containing added sugar or other sweetening matter; GROWING UP LIQUID MILK3 (200ml),4
Sweetened evaporated milk,4
Milk; WHOLE MILK,4
Egg yolk,4
Fermented milk KOUMISS,4
Reconstituted milk; 진하고 맛있는 특농우유 900; RKOREA,4
Fermented Cream Preparation; Cream Flavor No1,4
Other fresh cheese; BELGIOIOSO FRESH MOZZARELLA SMOKED; USA,4
Cream powder containing added sugar; 분말유크림; RKOREA,4
Batter Mozzarella Sticks,4
Snail shell Cultivated snail shell,5
Sea cucumber guts;;;PRCHNA,5
CORAL;코라파워(산호칼슘);;;JAPAN,5
Shark stomach frozen;;;TAIWAN,5
Crab shell crushed;; VIETNAM,5
Dead mealworm; PRCHNA,5
Feathers mixed with Polyester fiber,5
Brine shrimp eggs; Decapsulated Artemia Cysts; PRCHNA,5
Young antler powder;VITA PRIMA VELVET ANTLER;230mgcap30caps bottle;For food supplement;young antler 100;CANADA,5
Mushroom spawn Oak pole inoculated mushrooms seed,6
허바리움(SE150),6
Mixtures of vegetable; 컵나물,7
Dropwort dried;;Cutted;For food;Dropwortglucose8salt2;PR CHNA,7
Carrot dried; PRCHNA,7
Mung beancooked frozen;냉동 찐녹두 ;;;VIETNAM,7
Mixtures of vegetables frozen; Frozen mixed Vegetable(냉동혼합야채); 179g(개당); PRCHNA,7
Ling chiu Mushroom,7
Cabbagedried;;Slice;for food;Cabbage93Glucose5Salt2;KOREA,7
Dried vegetable; peanut sprouts; PRCHNA,7
PRESERVATION TREATED GARLIC,7
Rice bean예팥학명 Vigna umbellata(Thunb) Ohwi  Ohashi,7
